SHIPPER_ID,SHIPMENT_NUMBER,CARRIER_DISPLAY_ID,VEHICLE_TYPE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST,DELIVERY_DISTANCE,LAT,LON,RECORD_TIMESTAMP,LATE_DELIVERY
39a4e234-5d35-4d94-8e8a-b8bf6fe13953,SEZHUK-231025-256168,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.3570004,-1.1733594,55.7361786,-4.1679568,2023-11-07T14:00:00+00:00,2023-11-07T15:00:00+00:00,2023-11-07T23:00:00+00:00,2023-11-07 23:59:00+00:00,424.1,55.7359974356341,-4.16851203988927,2023-11-08 03:19:00+00:00,1
66a23663-0195-46f2-a5e4-da256bcba47b,SEZHUK-231109-261150,CAUK001009,3.5T Van,LWB Van,NP10 9DQ,DE74 2TR,51.58228,-3.0478476,52.826340900000005,-1.3489658,2023-11-25T08:30:00+00:00,2023-11-25T09:30:00+00:00,2023-11-25T12:30:00+00:00,2023-11-25 13:30:00+00:00,180.69,52.82536,-1.34984666666667,2023-11-25 11:40:00+00:00,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231126-266580,CAUK001068,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.7668466,-1.7405195,51.399350000000005,-1.2314503,2023-11-27T00:20:00+00:00,2023-11-27T02:00:01+00:00,2023-11-27T07:37:00+00:00,2023-11-27 10:33:01+00:00,265.7,51.3991138087716,-1.23243717219745,2023-11-27 10:51:00+00:00,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231126-266580,CAUK001068,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.7668466,-1.7405195,51.399350000000005,-1.2314503,2023-11-27T00:20:00+00:00,2023-11-27T02:00:01+00:00,2023-11-27T07:37:00+00:00,2023-11-27 10:33:01+00:00,265.7,51.3999594552211,-1.23184557737823,2023-11-27 10:53:00+00:00,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231126-266580,CAUK001068,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.7668466,-1.7405195,51.399350000000005,-1.2314503,2023-11-27T00:20:00+00:00,2023-11-27T02:00:01+00:00,2023-11-27T07:37:00+00:00,2023-11-27 10:33:01+00:00,265.7,51.3996316356766,-1.23049445600299,2023-11-27 10:54:00+00:00,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231126-266580,CAUK001068,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.7668466,-1.7405195,51.399350000000005,-1.2314503,2023-11-27T00:20:00+00:00,2023-11-27T02:00:01+00:00,2023-11-27T07:37:00+00:00,2023-11-27 10:33:01+00:00,265.7,51.3989982,-1.2317134,2023-11-27 10:55:00+00:00,0
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231126-266580,CAUK001068,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.7668466,-1.7405195,51.399350000000005,-1.2314503,2023-11-27T00:20:00+00:00,2023-11-27T02:00:01+00:00,2023-11-27T07:37:00+00:00,2023-11-27 10:33:01+00:00,265.7,51.39891409547911,-1.23110538785241,2023-11-27 12:56:00+00:00,1
bad2a1c4-4cf3-4157-864f-ce161784831f,SEZHUK-231102-258924,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,PR7 7NA,NP26 3TS,53.686791,-2.6725146,51.57282060000001,-2.8584854,2023-11-03T16:00:00+00:00,2023-11-03T17:00:00+00:00,2023-11-04T10:55:00+00:00,2023-11-04 11:25:00+00:00,235.58,51.5734636141316,-2.85885425466787,2023-11-04 11:58:00+00:00,1
3244246f-e37c-4ba4-b9b3-61416a4449ae,SEZHUK-231121-265105,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,OX16 2AA,53.293412,-1.0740077,52.0816323,-1.329315,2023-11-23T05:00:00+00:00,2023-11-23T05:59:00+00:00,2023-11-23T10:25:00+00:00,2023-11-23 10:55:00+00:00,135.95,52.082115954883,-1.33003056786023,2023-11-23 12:30:00+00:00,1
4eac100d-9434-415f-9e91-9be5da145d19,SEZHUK-231211-272240,CAUK000310,Tractor Unit,Tractor Only,PE12 6EW,CV8 3ED,52.7806928,-0.1244324,52.372393,-1.453716,2023-12-21T09:30:00+00:00,2023-12-21T10:30:00+00:00,2023-12-21T12:30:00+00:00,2023-12-21 13:30:00+00:00,100.92,52.37211675,-1.45470175,2023-12-21 09:41:00+00:00,0
